product_id,name,brand,price_eur,url,image_url,category
77557703,Fortifura Calvi Regendoucheset - thermostatisch - 25cm hoofddouche - staafhanddouche - Geborsteld Messing PVD (Goud),Fortifura,499.99,https://www.sawiday.be/nl-be/p/77557703/fortifura-calvi-regendoucheset-thermostatisch-met-25cm-ronde-hoofddouche-en-staafhanddouche-geborsteld-messing-pvd-goud,https://static.rorix.nl/image/product/overig/400x400/4e8775df2de0da5ff8f5341d2d717245.jpg/fortifura-calvi-regendoucheset-thermostatisch-25cm-hoofddouche-staafhanddouche-geborsteld-messing-pvd-goud--sw788000.jpg,douche-alle
77969583,Fortifura Calvi Regendoucheset - thermostatisch - 25cm hoofddouche - gladde slang - ronde handdouche - Geborsteld Messing PVD (Goud),Fortifura,499.99,https://www.sawiday.be/nl-be/p/77969583/fortifura-calvi-regendoucheset-thermostatisch-25cm-hoofddouche-gladde-slang-ronde-handdouche-geborsteld-messing-pvd-goud,https://static.rorix.nl/image/product/overig/400x400/9be98995c086e050dddbb6f428a63c20.jpg/fortifura-calvi-regendoucheset-thermostatisch-25cm-hoofddouche-gladde-slang-ronde-handdouche-geborsteld-messing-pvd-goud--sw1204403.jpg,douche-alle
77969587,Fortifura Calvi Regendoucheset - thermostatisch - 25cm hoofddouche - metalen slang - ronde handdouche - Geborsteld Gunmetal PVD,Fortifura,499.99,https://www.sawiday.be/nl-be/p/77969587/fortifura-calvi-regendoucheset-thermostatisch-25cm-hoofddouche-metalen-slang-ronde-handdouche-geborsteld-gunmetal-pvd,https://static.rorix.nl/image/product/overig/400x400/0e9a0c3aee5975981cece10af81ce7e5.jpg/fortifura-calvi-regendoucheset-thermostatisch-25cm-hoofddouche-metalen-slang-ronde-handdouche-geborsteld-gunmetal-pvd-sw1204407.jpg,douche-alle
77969619,Fortifura Calvi Regendoucheset - thermostatisch - 30cm hoofddouche - gladde slang - ronde handdouche - Geborsteld Messing PVD (Goud),Fortifura,549.99,https://www.sawiday.be/nl-be/p/77969619/fortifura-calvi-regendoucheset-thermostatisch-30cm-hoofddouche-gladde-slang-ronde-handdouche-geborsteld-messing-pvd-goud,https://static.rorix.nl/image/product/overig/400x400/96445248fb2281fd26655e6a8651f831.jpg/fortifura-calvi-regendoucheset-thermostatisch-30cm-hoofddouche-gladde-slang-ronde-handdouche-geborsteld-messing-pvd-goud--sw1204438.jpg,douche-alle
77969625,Fortifura Calvi Regendoucheset - thermostatisch - 30cm hoofddouche - gladde slang - ronde handdouche - Geborsteld koper PVD (Koper),Fortifura,549.99,https://www.sawiday.be/nl-be/p/77969625/fortifura-calvi-regendoucheset-thermostatisch-30cm-hoofddouche-gladde-slang-ronde-handdouche-geborsteld-koper-pvd-koper,https://static.rorix.nl/image/product/overig/400x400/503bbfaff8c51035024168ec279eb12d.jpg/fortifura-calvi-regendoucheset-thermostatisch-30cm-hoofddouche-gladde-slang-ronde-handdouche-geborsteld-koper-pvd-koper--sw1204444.jpg,douche-alle
77969577,Fortifura Calvi Regendoucheset - thermostatisch - 25cm hoofddouche - gladde slang - ronde handdouche - Geborsteld koper PVD (Koper),Fortifura,499.99,https://www.sawiday.be/nl-be/p/77969577/fortifura-calvi-regendoucheset-thermostatisch-25cm-hoofddouche-gladde-slang-ronde-handdouche-geborsteld-koper-pvd-koper,https://static.rorix.nl/image/product/overig/400x400/503bbfaff8c51035024168ec279eb12d.jpg/fortifura-calvi-regendoucheset-thermostatisch-25cm-hoofddouche-gladde-slang-ronde-handdouche-geborsteld-koper-pvd-koper--sw1204397.jpg,douche-alle
77969613,Fortifura Calvi Regendoucheset - thermostatisch - 30cm hoofddouche - metalen slang - staaf handdouche - Geborsteld RVS PVD,Fortifura,549.99,https://www.sawiday.be/nl-be/p/77969613/fortifura-calvi-regendoucheset-thermostatisch-30cm-hoofddouche-metalen-slang-staaf-handdouche-geborsteld-rvs-pvd-rvs,https://static.rorix.nl/image/product/overig/400x400/212995322d233c5955f7153318cda5f2.jpg/fortifura-calvi-regendoucheset-thermostatisch-30cm-hoofddouche-metalen-slang-staaf-handdouche-geborsteld-rvs-pvd-sw1204432.jpg,douche-alle
77969592,Fortifura Calvi Regendoucheset - thermostatisch - 25cm hoofddouche - gladde slang - staaf handdouche - Geborsteld RVS PVD,Fortifura,499.99,https://www.sawiday.be/nl-be/p/77969592/fortifura-calvi-regendoucheset-thermostatisch-25cm-hoofddouche-gladde-slang-staaf-handdouche-geborsteld-rvs-pvd-rvs,https://static.rorix.nl/image/product/overig/400x400/4f019c3c328a01313cefe2764cf1eb9d.jpg/fortifura-calvi-regendoucheset-thermostatisch-25cm-hoofddouche-gladde-slang-staaf-handdouche-geborsteld-rvs-pvd-sw1204412.jpg,douche-alle
77969589,Fortifura Calvi Regendoucheset - thermostatisch - 25cm hoofddouche - metalen slang - staaf handdouche - Geborsteld RVS PVD,Fortifura,499.99,https://www.sawiday.be/nl-be/p/77969589/fortifura-calvi-regendoucheset-thermostatisch-25cm-hoofddouche-metalen-slang-staaf-handdouche-geborsteld-rvs-pvd-rvs,https://static.rorix.nl/image/product/overig/400x400/212995322d233c5955f7153318cda5f2.jpg/fortifura-calvi-regendoucheset-thermostatisch-25cm-hoofddouche-metalen-slang-staaf-handdouche-geborsteld-rvs-pvd-sw1204409.jpg,douche-alle
77969618,Fortifura Calvi Regendoucheset - thermostatisch - 30cm hoofddouche - gladde slang - staaf handdouche - Geborsteld Messing PVD (Goud),Fortifura,549.99,https://www.sawiday.be/nl-be/p/77969618/fortifura-calvi-regendoucheset-thermostatisch-30cm-hoofddouche-gladde-slang-staaf-handdouche-geborsteld-messing-pvd-goud,https://static.rorix.nl/image/product/overig/400x400/4e8775df2de0da5ff8f5341d2d717245.jpg/fortifura-calvi-regendoucheset-thermostatisch-30cm-hoofddouche-gladde-slang-staaf-handdouche-geborsteld-messing-pvd-goud--sw1204437.jpg,douche-alle
78180208,Adema Sparkle 2.0 regendoucheset - thermostaat hoofddouche - 20cm - handdouche - 3 standen - goud mat,Adema,149.99,https://www.sawiday.be/nl-be/p/78180208/adema-sparkle-2.0-regendoucheset-thermostaat-hoofddouche-20cm-handdouche-3-standen-goud-mat,https://static.rorix.nl/image/product/overig/400x400/406771716b2ca46a90e16e8bc58ac33c.jpg/adema-sparkle-2.0-regendoucheset-thermostaat-hoofddouche-20cm-handdouche-3-standen-goud-mat-sw1407265.jpg,douche-alle
77969596,Fortifura Calvi Regendoucheset - thermostatisch - 25cm hoofddouche - metalen slang - ronde handdouche - mat zwart,Fortifura,399.99,https://www.sawiday.be/nl-be/p/77969596/fortifura-calvi-regendoucheset-thermostatisch-25cm-hoofddouche-metalen-slang-ronde-handdouche-zwart-mat,https://static.rorix.nl/image/product/overig/400x400/1f370dfc691123d7f93efd453e2c3657.jpg/fortifura-calvi-regendoucheset-thermostatisch-25cm-hoofddouche-metalen-slang-ronde-handdouche-mat-zwart-sw1204415.jpg,douche-alle
77468190,Adema Sparkle 2.0 wastafelmengkraan - chroom,Adema,39.99,https://www.sawiday.be/nl-be/p/77468190/adema-sparkle-20-wastafelmengkraan-chroom,https://static.rorix.nl/image/product/overig/400x400/d0bcf88503d1cabfcc0001225a2e5f03.jpg/adema-sparkle-2.0-wastafelmengkraan-chroom-sw696240.jpg,kranen-alle
77537385,Adema Sparkle 2.0 Hoekstopkraan - mat zwart,Adema,14.99,https://www.sawiday.be/nl-be/p/77537385/adema-sparkle-20-hoekstopkraan-mat-zwart,https://static.rorix.nl/image/product/overig/400x400/495756639371932306dc00755c37e350.jpg/adema-sparkle-2.0-hoekstopkraan-mat-zwart-sw760794.jpg,kranen-alle
77134481,Fortifura Calvi Wastafelkraan - inbouw - met inbouwdeel - Geborsteld RVS PVD (RVS),Fortifura,189.99,https://www.sawiday.be/nl-be/p/77134481/fortifura-calvi-wastafelkraan-inbouw-met-inbouwdeel-geborsteld-rvs-pvd-rvs,https://static.rorix.nl/image/product/overig/400x400/d3acbbbf3d308e98980b6b954bf3614d.jpg/fortifura-calvi-wastafelkraan-inbouw-met-inbouwdeel-geborsteld-rvs-pvd-rvs--sw377860.jpg,kranen-alle
77580252,Fortifura Calvi wastafelkraan - hoog - draaibare uitloop - Geborsteld Messing PVD (Goud),Fortifura,177.99,https://www.sawiday.be/nl-be/p/77580252/fortifura-calvi-wastafelkraan-hoog-draaibare-uitloop-geborsteld-messing-pvd-goud,https://static.rorix.nl/image/product/overig/400x400/566296f25579a6b0c9d7dbdbea330f58.jpg/fortifura-calvi-wastafelkraan-hoog-draaibare-uitloop-geborsteld-messing-pvd-goud--sw809349.jpg,kranen-alle
77583630,"Fortifura Calvi Thermostatische badkraan met staafhanddouche, handdouchehouder en gladde doucheslang Geborsteld Messing PVD (Goud)",Fortifura,308.99,https://www.sawiday.be/nl-be/p/77583630/fortifura-calvi-thermostatische-badkraan-met-staafhanddouche-handdouchehouder-en-gladde-doucheslang-geborsteld-messing-pvd-goud,"https://static.rorix.nl/image/product/overig/400x400/f4287b8f49c6a5c41f08e7a5cbef54d4.jpg/fortifura-calvi-thermostatische-badkraan-met-staafhanddouche,-handdouchehouder-en-gladde-doucheslang-geborsteld-messing-pvd-goud--sw811958.jpg",kranen-alle
77134455,Fortifura Calvi Wastafelkraan - 33.9cm - verhoogd - opbouw - mat zwart,Fortifura,159.99,https://www.sawiday.be/nl-be/p/77134455/fortifura-calvi-wastafelkraan-33.9cm-verhoogd-opbouws-zwart-mat,https://static.rorix.nl/image/product/overig/400x400/3f5dbbb991cf5da39f754fff9d514830.jpg/fortifura-calvi-wastafelkraan-33.9cm-verhoogd-opbouw-mat-zwart-sw377834.jpg,kranen-alle
77580253,Fortifura Calvi wastafelkraan - hoog - draaibare uitloop - Geborsteld Gunmetal PVD,Fortifura,177.99,https://www.sawiday.be/nl-be/p/77580253/fortifura-calvi-wastafelkraan-hoog-draaibare-uitloop-geborsteld-gunmetal-pvd,https://static.rorix.nl/image/product/overig/400x400/c4de7ed08f8cd4622fbbcf16a416fd2b.jpg/fortifura-calvi-wastafelkraan-hoog-draaibare-uitloop-geborsteld-gunmetal-pvd-sw809350.jpg,kranen-alle
77134458,Fortifura Calvi Wastafelkraan - inbouw - met inbouwdeel - zwart mat,Fortifura,149.99,https://www.sawiday.be/nl-be/p/77134458/fortifura-calvi-inbouw-wastafelkraan-met-inbouwdeel-zwart-mat,https://static.rorix.nl/image/product/overig/400x400/369f587225e7b840f7a06afd19a3085f.jpg/fortifura-calvi-wastafelkraan-inbouw-met-inbouwdeel-zwart-mat-sw377837.jpg,kranen-alle
77495032,Fortifura Calvi Wastafelkraan - 33.9cm - verhoogd - opbouw - Geborsteld Messing PVD (Goud),Fortifura,172.99,https://www.sawiday.be/nl-be/p/77495032/fortifura-calvi-wastafelkraan-33.9cm-verhoogd-opbouw-geborsteld-messing-pvd-goud,https://static.rorix.nl/image/product/overig/400x400/14a950f9d57f06d2bb6a790ba61cc07c.jpg/fortifura-calvi-wastafelkraan-33.9cm-verhoogd-opbouw-geborsteld-messing-pvd-goud--sw720549.jpg,kranen-alle
