name,url,price,category,subcategory,description,image_count,downloaded_images,scraped_at
Duravit D Code bad acryl rechthoekig 170x70x40cm wit,https://www.sawiday.be/nl-be/p/76009952/duravit-code-kunstof-bad-acryl-170x70x40cm-zonder-poten-wit,e639,baths,unknown,,16,16,2026-02-13T11:46:56.035576
Duravit No.1 inbouwbad 180x80cm acryl Wit,https://www.sawiday.be/nl-be/p/77498426/duravit-no.1-bad-acryl-170x75x40cm-zonder-poten-wit,e204,baths,unknown,,25,25,2026-02-13T11:47:06.900581
Villeroy &amp; Boch Oberon 2.0 bad rechthoek 180x80cm - duo wit,https://www.sawiday.be/nl-be/p/77019052/villeroy-boch-subway-3.0-bad-180x80-cm-wit,e204,baths,unknown,,14,14,2026-02-13T11:47:23.607142
Villeroy &amp; Boch Oberon Bad Rechthoek 160x75cm - Wit,https://www.sawiday.be/nl-be/p/76912010/villeroy-boch-bowray-3.0-bad-175xl60cm-52cm-rechthoekig-wit,e639,baths,unknown,,10,10,2026-02-13T11:47:34.037917
