name,url,price,category,subcategory,description,image_count,downloaded_images,scraped_at
Mondiaz Aivy badmeubelset - 120x45x50cm - 0 kraangaten - 1 wasbak talc Solid surface - Links - 2 lades - Zonder spiegel - Melamine Mocha,https://www.sawiday.be/nl-be/p/77667217/mondiaz-aivy-badmeubelset-120x45x50cm-0-kraangaten-1-wasbak-talc-solid-surface-links-2-lades-zonder-spiegel-melamine-mocha,e639,vanities,one sink,,10,10,2026-02-13T11:26:20.906801
Mondiaz BUKLA badkamermeubelset 120x45x34cm 0 kraangaten wasbak midden solid surface Urban greeploos 1 lade met softclose Melamine Dark brown,https://www.sawiday.be/nl-be/p/77477464/mondiaz-bukla-badkamermeubelset-120x45x34cm-0-kraangaten-wasbak-midden-solid-surface-urban-greeploos-1-lade-met-softclose-melamine-dark-brown,e639,vanities,one sink,,9,9,2026-02-13T11:26:27.899998
MONDIAZ VICA Badkamermeubelset - 120cm - 2 lades - wasbak Cloud links - 0 kraangaten - solid surface rust,https://www.sawiday.be/nl-be/p/77169283/mondiaz-vica-120cm-badmeubel-rust-2-lades-wastafel-cloud-links-zonder-kraangat,e639,vanities,one sink,,10,10,2026-02-13T11:26:35.707365
