name,url,price,category,subcategory,description,image_count,downloaded_images,scraped_at
Wiesbaden UniMatch Cadans glijstangset compleet met handdouche 3 standen Ø 8 cm chroom,https://www.sawiday.be/nl-be/p/75828049/wiesbaden-unimat-s-cabine-lijstset-compleet-met-handdouche-3-standen-o-8-cm-chroom,e639,showers,unknown,,10,10,2026-02-13T11:43:47.336863
Hansgrohe Ecostat 1001cl thermostaat met stang 65cmm crometta vario handdouche wit chroom,https://www.sawiday.be/nl-be/p/76680828/hang-grotto-thermostaat-1001cl-rain-head-met-stang-65cm-vario-chroom,e204,showers,unknown,,13,13,2026-02-13T11:43:54.567498
Hansgrohe Ecostat 1001cl thermostaat met stang 65cmm crometta vario handdouche wit chroom,https://www.sawiday.be/nl-be/p/76680828/hang-grotto-vario-showerpipe-240-1jet-eco-staat-fine-varia-chroom,e204,showers,unknown,,13,13,2026-02-13T11:44:04.679746
Nemo Spring Vidrio Hammam douchecabine 120x90cm rechts met schuifdeur en vaste wanden in veiligheidsglas met jets thermostatische douchekraan,https://www.sawiday.be/nl-be/p/77074635/nemo-spring-eido-douche-cabine-1200x900mm-rechts-samen-en-vaste-wanden-in-veiligheid-glas-douchebak-kunststof-en-hoofdouchegarnituur-soproof,e639,showers,unknown,,7,7,2026-02-13T11:44:14.402553
Hansgrohe Pulsify showerpipe 26cm 1jet chroom,https://www.sawiday.be/nl-be/p/77420908/hansgrohe-crometta-regendouche-opbouw-ronde-hoofddouche-douche-garnituur-chroom,e639,showers,unknown,,31,31,2026-02-13T11:44:20.321166
Sunshower Solo infrarood opbouwapparaat 20x125x18cm full body 1500watt aluminium,https://www.sawiday.be/nl-be/p/77493696/sunshower-solo-infrarood-opbouwapparaat-20x125x18cm-full-body-1500watt-aluminium,e639,showers,unknown,,6,6,2026-02-13T11:44:44.992546
Adema Sparkle 2.0 regendoucheset - thermostaat hoofddouche - 20cm - handdouche - 3 standen - zwart,https://www.sawiday.be/nl-be/p/77549625/adema-sparkle-regendouche-thermostatisch-20cm-handdouche-3-standen-zwart,e639,showers,unknown,,12,12,2026-02-13T11:44:50.254189
Marenza Casus Douchecabine - 90x90x200cm - hoekinstap - helder glas - profiel - mat zwart,https://www.sawiday.be/nl-be/p/77555368/marenza-casus-douche-cabine-90x90x200cm-hoekinstallatie-helder-glas-profiel-mat-zwart,e639,showers,unknown,,9,9,2026-02-13T11:45:00.110167
Marenza Casus Douchecabine - 100x100x200cm - hoekinstap - helder glas - profiel - mat zwart,https://www.sawiday.be/nl-be/p/77555369/marenza-casus-douche-100x100x200cm-hoekinstallatie-helder-glas-profiel-mat-zwart,e639,showers,unknown,,10,10,2026-02-13T11:45:06.788647
Villeroy &amp; Boch Verve Showers Glijstangset met drie functies voor wandmontage - Brushed Gold (goud),https://www.sawiday.be/nl-be/p/77751507/villeroy-boch-verve-shower-lijstcombinatie,e639,showers,unknown,,11,11,2026-02-13T11:45:15.264352
Brauer Copper Edition Regendoucheset opbouw - hoofddouche 30cm - glijstang - handdouche rond 3 standen - gladde knoppen - PVD - geborsteld koper,https://www.sawiday.be/nl-be/p/77927260/bruer-copper-edition-strortdouche-set-diameter-30cm-en-ronde-handdouche-geborsteld-koper-pvd,e639,showers,unknown,,13,13,2026-02-13T11:45:23.832019
Grohe Selection Toiletaccessoires - closethouder - zonder klep - closetborstelset - handdoekhaak - phantom black,https://www.sawiday.be/nl-be/p/77969501/fortifurn-calvi-regendouche-thermostatisch-30cm-hoofddouche-metalen-lang-raad-handdouche-geborsteld-messing-pvd-goud,e639,showers,unknown,,6,6,2026-02-13T11:45:33.300999
Fortifura Calvi Regendoucheset - thermostatisch - 25cm hoofddouche - metalen slang - ronde handdouche - Geborsteld Messing PVD (Goud),https://www.sawiday.be/nl-be/p/77969582/fortifurn-calvi-regendouche-thermostatisch-25cm-hoofddouche-metalen-lang-raad-handdouche-geborsteld-messing-pvd-goud,e639,showers,unknown,,11,11,2026-02-13T11:45:38.086831
Fortifura Calvi Regendoucheset - thermostatisch - 30cm hoofddouche - gladde slang - ronde handdouche - Geborsteld Messing PVD (Goud),https://www.sawiday.be/nl-be/p/77969619/fortifurn-calvi-regendouche-thermostatisch-25cm-hoofddouche-gladde-lang-staal-handdouche-geborsteld-messing-pvd-goud,e639,showers,unknown,,13,13,2026-02-13T11:45:46.550732
hansgrohe Activera S Showerpipe 240 - 1jet - EcoSmart met Ecostat Fine Varia - chroom,https://www.sawiday.be/nl-be/p/78160666/hang-grotto-vario-showerpipe-240-1jet-eco-staat-fine-varia-chroom,e639,showers,unknown,,19,19,2026-02-13T11:45:56.004026
Adema Dawn Inloopdouche - 110x200cm - wandprofiel - stabilisatiestang - helder glas - zwart mat,https://www.sawiday.be/nl-be/p/78219394/adema-dawn-inloopdouche-110x200cm-wandprofiel-stabilis-glas-zwart-mat,e639,showers,unknown,,4,4,2026-02-13T11:46:11.387174
