name,url,price,category,subcategory,description,image_count,downloaded_images,scraped_at
ZEZA Grand half vrijstaand hoekbad - links - 180x80x58cm - met afvoer - acryl - glans wit,https://www.sawiday.be/nl-be/p/77808839/zeis-grand-vrijstaand-hoekbad-180x80x58cm-acryl-mat-wit,e639,sub half freestanding baths,unknown,,5,5,2026-02-13T11:54:03.646146
Villeroy &amp; Boch Theano vrijstaand duobad - 155x75cm - kunststof quaryl - ovaal - mat grijs,https://www.sawiday.be/nl-be/p/77539339/zeis-grand-vrijstaand-bad-170x80x58cm-acryl-mat-wit,e639,sub half freestanding baths,unknown,,3,3,2026-02-13T11:54:08.783889
Go by Van Marcke D-Shape Design - halfvrijstaand bad - 180x80x60cm - hoek links - acryl - mat wit,https://www.sawiday.be/nl-be/p/77786631/go-by-van-marcke-d-shape-design-half-vrijstaand-bad-180x80cm-acryl-mat-wit,e639,sub half freestanding baths,unknown,,2,2,2026-02-13T11:54:12.470898
