name,url,price,category,subcategory,description,image_count,downloaded_images,scraped_at
Saniclass Chaci Badkamermeubelset - 120x46x55cm - keramische wastafel wit - 2 wasbakken - 2 kraangaten - 2 lades - noten (hout),https://www.sawiday.be/nl-be/p/77580297/saniclass-chaci-badkamermeubelset-120x46x55cm-keramische-wastafel-wit-2-wasbakken-2-kraangaten-2-laden-noten-hout,e639,vanities,two sinks,,13,13,2026-02-13T11:34:58.795978
Saniclass Chaci Badkamermeubelset - 120x46x55cm - keramische wastafel wit - 2 wasbakken - 2 kraangaten - 2 lades - eiken,https://www.sawiday.be/nl-be/p/77580295/saniclass-chaci-badkamermeubelset-120x46x55cm-keramische-wastafel-wit-2-wasbakken-2-kraangaten-2-laden-eiken,e639,vanities,two sinks,,15,15,2026-02-13T11:35:08.326617
Saniclass Chaci Badkamermeubelset - 120x46x55cm - keramische wastafel wit - 2 wasbakken - 2 kraangaten - 2 lades - mat wit,https://www.sawiday.be/nl-be/p/77580298/saniclass-chaci-badkamermeubelset-120x46x55cm-keramische-wastafel-wit-2-wasbakken-2-kraangaten-2-laden-mat-wit,e639,vanities,two sinks,,12,12,2026-02-13T11:35:17.384495
Saniclass Chaci Badkamermeubelset - 120x46x55cm - keramische wastafel wit - 2 wasbakken - 2 kraangaten - 2 lades - spiegelkast - mat wit,https://www.sawiday.be/nl-be/p/77629242/saniclass-chaci-badkamermeubelset-120x46x55cm-keramische-wastafel-wit-2-wasbakken-2-kraangaten-2-laden-spiegelkast-mat-wit,e639,vanities,two sinks,,12,12,2026-02-13T11:35:22.960569
Saniclass Chaci Badkamermeubelset - 120x46x55cm - keramische wastafel wit - 2 ovale wasbakken - 2 kraangaten - 2 lades - noten (hout),https://www.sawiday.be/nl-be/p/77496026/saniclass-chaci-badkamermeubelset-120x46x55cm-keramische-wastafel-wit-2-ovale-wasbakken-2-kraangaten-2-laden-noten-hout,e639,vanities,two sinks,,12,12,2026-02-13T11:35:29.956237
Saniclass Vita Badkamermeubelset - 120x60x46cm -2 lades - greeploos - 2 wasbakken - 2 kraangaten - overloop - keramiek - licht eiken,https://www.sawiday.be/nl-be/p/78214608/saniclass-vita-badkamermeubelset-120x60x46cm-2-laden-grieploos-2-wasbakken-2-kraangaten-overloop-keramiek-licht-eiken,e639,vanities,two sinks,,5,5,2026-02-13T11:35:37.113277
Saniclass Chaci PLUS Badkamermeubelset - 120x86x46cm - keramische wastafel wit - 2 wasbakken - zonder kraangaten - 6 lades - rechthoekige spiegel - noten (hout),https://www.sawiday.be/nl-be/p/77805432/saniclass-chaci-plus-badkamermeubelset-120x86x46cm-keramische-wastafel-wit-2-wasbakken-zonder-kraangaten-6-laden-rechtse-hoge-spiegelkast-zonder-uitvoering,e639,vanities,two sinks,,5,5,2026-02-13T11:35:42.003299
Saniclass Chaci Badkamermeubelset - 120x46x55cm - keramische wastafel wit - 2 ovale wasbakken - 2 kraangaten - 2 lades - rechthoekige spiegel - mat zwart,https://www.sawiday.be/nl-be/p/77499400/saniclass-chaci-badkamermeubelset-120x46x55cm-keramische-wastafel-wit-2-ovale-wasbakken-2-kraangaten-2-laden-rechtse-spiegelkast-mat-zwart,e639,vanities,two sinks,,10,10,2026-02-13T11:35:46.993130
Go by Van Marcke badkamermeubelset - 120x65x45.5cm - 2 lades - greeploos - 2 wasbakken wit mat - 2 kraangaten - met spiegelkast - MDF standard white,https://www.sawiday.be/nl-be/p/77685657/go-by-van-marcke-badkamermeubelset-120x65x45.5cm-2-laden-grieploos-2-wasbakken-wit-mat-2-kraangaten-met-spiegelkast-mdf-standard-white,e204,vanities,two sinks,,7,7,2026-02-13T11:35:53.268151
Go by Van Marcke badkamermeubelset - 120x65x45.5cm - 2 lades - greeploos - 2 wasbakken wit mat - 2 kraangaten - met spiegel - MDF standard white,https://www.sawiday.be/nl-be/p/77685653/go-by-van-marcke-badkamermeubelset-120x65x45.5cm-2-laden-grieploos-2-wasbakken-wit-mat-2-kraangaten-met-spiegelkast-mdf-standard-white,e204,vanities,two sinks,,7,7,2026-02-13T11:35:59.263993
HR badmeubelen Infinity XXL 3D Badkamermeubelset - 120 cm - 2 keramische wasbakken thin mat wit - 2 kraangaten - 2 lades - mat petrol,https://www.sawiday.be/nl-be/p/77637172/hr-badmeubelen-infinity-xxl-3d-badkamermeubelset-120-cm-2-keramische-wasbakken-thin-mat-wit-2-kraangaten-2-laden-mat-patrol,e639,vanities,two sinks,,5,5,2026-02-13T11:36:04.597586
HR badmeubelen Matrix 3D badkamermeubelset 120cm 2 laden greeploos met greeplijst in kleur Charleston met wasbak thin dubbel 2 kraangaten wit mat,https://www.sawiday.be/nl-be/p/77629939/hr-badmeubelen-matrix-3d-badkamermeubelset-120cm-2-laden-grieploos-met-greeplijst-in-kleur-charleston-met-wasbak-dun-bel-2-kraangaten-wit-mat,e639,vanities,two sinks,,6,6,2026-02-13T11:36:08.737344
