name,url,price,category,subcategory,description,image_count,downloaded_images,scraped_at
ZEZA Pure vrijstaand bad - 170x80x58cm - acryl - mat wit,https://www.sawiday.be/nl-be/p/77739166/zeis-pure-vrijstaand-bad-170x80x58cm-acryl-mat-wit,e639,freestanding baths,unknown,,5,5,2026-02-13T11:51:29.384998
Arcqua Cusco vrijstaand ligbad 165x83x55cm cast marble Mat Zwart,https://www.sawiday.be/nl-be/p/77203396/arcqua-casto-vrijstaand-ligbad-165x83x55cm-cast-marble-mat-zwart,e639,freestanding baths,unknown,,6,6,2026-02-13T11:51:34.329547
Arcqua Ica vrijstaand ligbad 170x80cm mat wit,https://www.sawiday.be/nl-be/p/77630079/arcqua-costo-vrijstaand-ligbad-170x80cm-mat-wit,e639,freestanding baths,unknown,,4,4,2026-02-13T11:51:39.413946
Arcqua Ica vrijstaand ligbad 170x80cm glans wit,https://www.sawiday.be/nl-be/p/77630075/arcqua-icosta-vrijstaand-ligbad-165x83x55cm-glas-wit,e639,freestanding baths,unknown,,3,3,2026-02-13T11:51:42.683702
Riho Valor vrijstaand bad - 170x72x55cm - solid surface - mat wit,https://www.sawiday.be/nl-be/p/77175453/riho-granada-vrijstaand-bad-170x72x55cm-solid-surface-mat-wit,e639,freestanding baths,unknown,,5,5,2026-02-13T11:51:47.846197
Best Design nostalgisch vrijstaand bad op poten 175x72x79cm,https://www.sawiday.be/nl-be/p/75802400/best-design-nostalgisch-vrijstaand-bad-op-poten-175x72x79cm-solid-surface-mat-wit,e639,freestanding baths,unknown,,4,4,2026-02-13T11:51:53.341034
