name_raw,brand,price,slug,image_url,category,name_clean,image_score,selected,old_category,confidence,reasons
RIHO Neo hoekbad 140x140cm Wit glans,Riho,870.0,,https://static.rorix.nl/image/product/overig/400x400/52cbd3981cc35.jpg/riho-neo-hoekbad-140x140cm-wit-glans-310529.jpg,Bathtub,RIHO Neo hoekbad 140x140cm Wit glans – wit,9,True,Bathtub,70.37037037037037,Keyword match: 'bad'; Keyword match: 'hoekbad'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Desire halfvrijstaand bad - 180x84cm - Middenopstelling - met chromen badvuller - Acryl wit glans,Riho,2443.0,,https://static.rorix.nl/image/product/overig/400x400/9135b2d01e29c21acffa013927e23f2c.jpg/riho-desire-halfvrijstaand-bad-180x84cm-middenopstelling-met-chromen-badvuller-acryl-wit-glans-sw370625.jpg,Bathtub,Riho Desire halfvrijstaand bad – wit,9,True,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Desire halfvrijstaand bad - 180x84cm - Middenopstelling - met chromen badvuller - Acryl wit mat,Riho,2892.0,,https://static.rorix.nl/image/product/overig/400x400/00b7b53fcbeb1bfb6ab70cfa0213618f.jpg/riho-desire-halfvrijstaand-bad-180x84cm-middenopstelling-met-chromen-badvuller-acryl-wit-mat-sw543560.jpg,Bathtub,Riho Desire halfvrijstaand bad – wit,9,False,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Desire halfvrijstaand bad - 180x84cm - Middenopstelling - Sparkle - met chromen badvuller - acryl wit hoogglans,Riho,4153.0,,https://static.rorix.nl/image/product/overig/400x400/dace0497e7dc7d6602efbe852ae3fa8a.jpg/riho-desire-halfvrijstaand-bad-180x84cm-middenopstelling-sparkle-met-chromen-badvuller-acryl-wit-hoogglans-sw547957.jpg,Bathtub,Riho Desire halfvrijstaand bad – wit,9,False,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Desire halfvrijstaand bad - 180x84cm - Middenopstelling - Sparkle - met chromen badvuller - acryl wit velvet,Riho,4600.0,,https://static.rorix.nl/image/product/overig/400x400/dace0497e7dc7d6602efbe852ae3fa8a.jpg/riho-desire-halfvrijstaand-bad-180x84cm-middenopstelling-sparkle-met-chromen-badvuller-acryl-wit-velvet-sw547866.jpg,Bathtub,Riho Desire halfvrijstaand bad – wit,9,False,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Desire hoekbad - 170x77cm - Hoekopstelling links - met chromen badvuller - acryl wit hoogglans,Riho,2394.0,,https://static.rorix.nl/image/product/overig/400x400/04d1a970ba7b60a982261f2080448349.jpg/riho-desire-hoekbad-170x77cm-hoekopstelling-links-met-chromen-badvuller-acryl-wit-hoogglans-sw925251.jpg,Bathtub,Riho Desire hoekbad – wit,9,True,Bathtub,70.37037037037037,Keyword match: 'bad'; Keyword match: 'hoekbad'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Desire hoekbad - 170x77cm - Hoekopstelling rechts - met chromen badvuller - acryl wit hoogglans,Riho,2394.0,,https://static.rorix.nl/image/product/overig/400x400/25f6290342afdb981d5d900753a96ada.jpg/riho-desire-hoekbad-170x77cm-hoekopstelling-rechts-met-chromen-badvuller-acryl-wit-hoogglans-sw925237.jpg,Bathtub,Riho Desire hoekbad – wit,9,False,Bathtub,70.37037037037037,Keyword match: 'bad'; Keyword match: 'hoekbad'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Desire hoekbad - 184x84cm - Hoekopstelling links - met chromen badvuller - Acryl wit glans,Riho,2443.0,,https://static.rorix.nl/image/product/overig/400x400/2a253c11b390503d90867f2819925c59.jpg/riho-desire-hoekbad-184x84cm-hoekopstelling-links-met-chromen-badvuller-acryl-wit-glans-sw412199.jpg,Bathtub,Riho Desire hoekbad – wit,9,False,Bathtub,70.37037037037037,Keyword match: 'bad'; Keyword match: 'hoekbad'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Desire hoekbad - 184x84cm - Hoekopstelling rechts - met chromen badvuller - Acryl wit glans,Riho,2443.0,,https://static.rorix.nl/image/product/overig/400x400/e1b9d02f43079d36aaf3e0f9a9ca89c0.jpg/riho-desire-hoekbad-184x84cm-hoekopstelling-rechts-met-chromen-badvuller-acryl-wit-glans-sw412237.jpg,Bathtub,Riho Desire hoekbad – wit,9,False,Bathtub,70.37037037037037,Keyword match: 'bad'; Keyword match: 'hoekbad'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Desire hoekbad - 170x77cm - Hoekopstelling rechts - met chromen badvuller - acryl wit velvet,Riho,2833.0,,https://static.rorix.nl/image/product/overig/400x400/8940d9b0a23c47d7ab9c30c6f7bd0a57.jpg/riho-desire-hoekbad-170x77cm-hoekopstelling-rechts-met-chromen-badvuller-acryl-wit-velvet-sw925254.jpg,Bathtub,Riho Desire hoekbad – wit,9,False,Bathtub,70.37037037037037,Keyword match: 'bad'; Keyword match: 'hoekbad'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Desire hoekbad - 184x84cm - Hoekopstelling links - met chromen badvuller - Acryl wit velvet,Riho,2892.0,,https://static.rorix.nl/image/product/overig/400x400/a758758187c90dfe819dfc1c9a5390b9.jpg/riho-desire-hoekbad-184x84cm-hoekopstelling-links-met-chromen-badvuller-acryl-wit-velvet-sw547850.jpg,Bathtub,Riho Desire hoekbad – wit,9,False,Bathtub,70.37037037037037,Keyword match: 'bad'; Keyword match: 'hoekbad'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Desire hoekbad - 184x84cm - hoekopstelling rechts - met chromen badvuller - acryl wit velvet,Riho,2892.0,,https://static.rorix.nl/image/product/overig/400x400/8940d9b0a23c47d7ab9c30c6f7bd0a57.jpg/riho-desire-hoekbad-184x84cm-hoekopstelling-rechts-met-chromen-badvuller-acryl-wit-velvet-sw547848.jpg,Bathtub,Riho Desire hoekbad – wit,9,False,Bathtub,70.37037037037037,Keyword match: 'bad'; Keyword match: 'hoekbad'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Devotion halfvrijstaand bad - 180x80cm - Middenopstelling - Sparkle - met chromen badvuller - acryl wit hoogglans,Riho,3649.0,,https://static.rorix.nl/image/product/overig/400x400/191088cbd5e2f3489f160b16f8485cb7.jpg/riho-devotion-halfvrijstaand-bad-180x80cm-middenopstelling-sparkle-met-chromen-badvuller-acryl-wit-hoogglans-sw547965.jpg,Bathtub,Riho Devotion halfvrijstaand bad – wit,9,True,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Devotion halfvrijstaand bad - 180x80cm - Middenopstelling - Sparkle - met chromen badvuller - acryl wit velvet,Riho,3652.0,,https://static.rorix.nl/image/product/overig/400x400/191088cbd5e2f3489f160b16f8485cb7.jpg/riho-devotion-halfvrijstaand-bad-180x80cm-middenopstelling-sparkle-met-chromen-badvuller-acryl-wit-velvet-sw548009.jpg,Bathtub,Riho Devotion halfvrijstaand bad – wit,9,False,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Modesty vrijstaand bad - 170x76cm - Sparkle - met chromen badvuller - acryl wit velvet,Riho,4276.0,,https://static.rorix.nl/image/product/overig/400x400/07f7e0476f8d29fc144cc621ddc683d7.jpg/riho-modesty-vrijstaand-bad-170x76cm-sparkle-met-chromen-badvuller-acryl-wit-velvet-sw548017.jpg,Bathtub,Riho Modesty vrijstaand bad – wit,9,True,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Phatos Halfvrijstaand Bad - 170x80cm - Acryl - Mat stone grey (grijs),Riho,2328.0,,https://static.rorix.nl/image/product/overig/400x400/457c55ec04c5a5aef1268c04bb620d9f.jpg/riho-phatos-halfvrijstaand-bad-170x80cm-acryl-mat-stone-grey-grijs--sw1185381.jpg,Bathtub,Riho Phatos Halfvrijstaand Bad – grijs,9,True,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Phatos Halfvrijstaand Bad - 170x80cm - Acryl - Velvet - Mat wit,Riho,2112.0,,https://static.rorix.nl/image/product/overig/400x400/4991ca55062e2f60aa5f949205bc4bba.jpg/riho-phatos-halfvrijstaand-bad-170x80cm-acryl-velvet-mat-wit-sw1185382.jpg,Bathtub,"Riho Phatos Halfvrijstaand Bad – mat wit, wit",9,True,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Phatos Halfvrijstaand Bad - 170x80cm - Acryl - glans wit,Riho,1784.0,,https://static.rorix.nl/image/product/overig/400x400/4991ca55062e2f60aa5f949205bc4bba.jpg/riho-phatos-halfvrijstaand-bad-170x80cm-acryl-glans-wit-sw1185380.jpg,Bathtub,Riho Phatos Halfvrijstaand Bad – wit,9,True,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Phatos Halfvrijstaand bad - 170x80cm - hoek links - acryl - mat stone grey (grijs),Riho,2328.0,,https://static.rorix.nl/image/product/overig/400x400/3debe1533319793f3ca6a9c0b9792f50.jpg/riho-phatos-halfvrijstaand-bad-170x80cm-hoek-links-acryl-mat-stone-grey-grijs--sw1185384.jpg,Bathtub,Riho Phatos Halfvrijstaand bad – grijs,9,True,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Phatos Halfvrijstaand bad - 170x80cm - hoek rechts - acryl - mat stone grey (grijs),Riho,2328.0,,https://static.rorix.nl/image/product/overig/400x400/8cc9846946e596715493630db93af922.jpg/riho-phatos-halfvrijstaand-bad-170x80cm-hoek-rechts-acryl-mat-stone-grey-grijs--sw1185387.jpg,Bathtub,Riho Phatos Halfvrijstaand bad – grijs,9,False,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Phatos Halfvrijstaand bad - 170x80cm - hoek rechts - acryl - mat wit,Riho,2112.0,,https://static.rorix.nl/image/product/overig/400x400/7df5f63df04c161425f27a5284d155f2.jpg/riho-phatos-halfvrijstaand-bad-170x80cm-hoek-rechts-acryl-mat-wit-sw1185388.jpg,Bathtub,"Riho Phatos Halfvrijstaand bad – mat wit, wit",9,True,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Phatos Halfvrijstaand bad - 170x80cm - hoek links - acryl - mat wit,Riho,2112.0,,https://static.rorix.nl/image/product/overig/400x400/f54affa29c5b634a29ae21ea773bc76a.jpg/riho-phatos-halfvrijstaand-bad-170x80cm-hoek-links-acryl-mat-wit-sw1185385.jpg,Bathtub,"Riho Phatos Halfvrijstaand bad – mat wit, wit",9,False,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Phatos Halfvrijstaand bad - 170x80cm - hoek rechts - acryl - glans wit,Riho,1784.0,,https://static.rorix.nl/image/product/overig/400x400/7df5f63df04c161425f27a5284d155f2.jpg/riho-phatos-halfvrijstaand-bad-170x80cm-hoek-rechts-acryl-glans-wit-sw1185386.jpg,Bathtub,Riho Phatos Halfvrijstaand bad – wit,9,True,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Phatos Halfvrijstaand bad - 170x80cm - hoek links - acryl - glans wit,Riho,1784.0,,https://static.rorix.nl/image/product/overig/400x400/f54affa29c5b634a29ae21ea773bc76a.jpg/riho-phatos-halfvrijstaand-bad-170x80cm-hoek-links-acryl-glans-wit-sw1185383.jpg,Bathtub,Riho Phatos Halfvrijstaand bad – wit,9,False,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Rethink Cubic halfvrijstaand bad met panelen - 160x70cm - acryl - rechts in hoek - glans wit,Riho,1629.0,,https://static.rorix.nl/image/product/overig/400x400/fe2364a2d06e2f49315f67219016c929.jpg/riho-rethink-cubic-halfvrijstaand-bad-met-panelen-160x70cm-acryl-rechts-in-hoek-glans-wit-sw547802.jpg,Bathtub,Riho Rethink Cubic halfvrijstaand bad met panelen – wit,9,True,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Rethink Cubic halfvrijstaand bad met panelen - 160x70cm - acryl - links in hoek - glans wit,Riho,1629.0,,https://static.rorix.nl/image/product/overig/400x400/fe2364a2d06e2f49315f67219016c929.jpg/riho-rethink-cubic-halfvrijstaand-bad-met-panelen-160x70cm-acryl-links-in-hoek-glans-wit-sw547799.jpg,Bathtub,Riho Rethink Cubic halfvrijstaand bad met panelen – wit,9,False,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
